0.0000000e+000	 1.5273927e-002	0.0000000e+000
5.0000000e-002	 7.4678568e-001	0.0000000e+000
1.0000000e-001	 4.4509643e-001	0.0000000e+000
1.5000000e-001	 9.3181458e-001	0.0000000e+000
2.0000000e-001	 4.6599434e-001	0.0000000e+000
2.5000000e-001	 4.1864947e-001	0.0000000e+000
3.0000000e-001	 8.4622142e-001	0.0000000e+000
3.5000000e-001	 5.2515250e-001	1.0000000e+000
4.0000000e-001	 2.0264736e-001	0.0000000e+000
4.5000000e-001	 6.7213747e-001	1.0000000e+000
5.0000000e-001	 8.3811845e-001	0.0000000e+000
5.5000000e-001	 1.9639514e-002	0.0000000e+000
6.0000000e-001	 6.8127716e-001	1.0000000e+000
6.5000000e-001	 3.7948102e-001	1.0000000e+000
7.0000000e-001	 8.3179602e-001	0.0000000e+000
7.5000000e-001	 5.0281288e-001	0.0000000e+000
8.0000000e-001	 7.0947139e-001	0.0000000e+000
8.5000000e-001	 4.2889237e-001	0.0000000e+000
9.0000000e-001	 3.0461737e-001	0.0000000e+000
9.5000000e-001	 1.8965375e-001	0.0000000e+000
1.0000000e+000	 1.9343116e-001	0.0000000e+000
